id,location,rural_urban,school_category,school_management,girls_0,boys_0,girls_1,boys_1,girls_2,boys_2,girls_3,boys_3,girls_4,boys_4,girls_5,boys_5,girls_6,boys_6,girls_7,boys_7,girls_8,boys_8,girls_9,boys_9,girls_10,boys_10,girls_11,boys_11,girls_12,boys_12
72,All India,Rural,HSS (IX-XII),Local body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1451,1804,1296,1698,1488,1819,920,878
73,All India,Urban,HSS (IX-XII),Local body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,215,2581,2099,2141,1772,2644,2447,1718,1501
74,All India,Rural,HSS (VI-XII),Local body,0,0,0,0,0,0,0,0,0,0,0,0,430,341,419,302,535,421,709,529,585,458,773,599,687,583
75,All India,Urban,HSS (VI-XII),Local body,0,0,0,0,0,0,0,0,0,0,0,0,6887,5486,6888,5444,8256,6222,11723,9654,10835,8340,14058,12754,13183,10105
76,All India,Urban,HSS (XI-XII),Local body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2660,685,1824,420
77,All India,Rural,PS (I-V),Local body,12299,12903,627025,660593,601427,619579,637251,641539,633122,635651,437400,440604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,All India,Urban,PS (I-V),Local body,65129,60685,138837,140012,146799,146634,168875,169034,177598,179599,164312,170749,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,All India,Rural,SS (I-X),Local body,158,142,3637,4465,3309,3731,7305,7873,7436,7792,11387,12941,18349,21452,18878,22081,20037,22559,21356,23480,20669,22888,0,0,0,0
80,All India,Urban,SS (I-X),Local body,4057,4363,3830,4183,3655,3903,4743,4882,4675,4817,6600,7028,8537,8906,8625,9147,10243,10590,12463,12905,11550,11908,0,0,0,0
81,All India,Rural,SS (IX-X),Local body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1534,1530,1285,1312,0,0,0,0
82,All India,Urban,SS (IX-X),Local body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662,473,11280,10880,10192,10141,0,0,0,0
83,All India,Rural,SS (VI-X),Local body,0,0,0,0,0,0,0,0,0,0,0,0,157018,179861,156948,178378,164880,191987,172109,197072,170711,191670,0,0,0,0
84,All India,Urban,SS (VI-X),Local body,0,0,0,0,0,0,0,0,0,0,118,99,48283,46223,48666,46266,57534,54955,60274,55222,56823,50518,0,0,0,0
85,All India,Rural,UPS (I-VIII),Local body,4409,4822,442012,461888,404022,415657,422393,432199,438984,448166,440423,455121,481389,496697,460298,468688,291998,296884,0,0,0,0,0,0,0,0
86,All India,Urban,UPS (I-VIII),Local body,37038,37058,105775,104262,94137,91575,105073,101342,108353,104687,111598,107784,114878,111928,112202,107856,84024,80946,0,0,0,0,0,0,0,0
87,All India,Rural,UPS (VI-VIII),Local body,0,0,0,0,0,0,0,0,0,0,635,668,1557,1602,1507,1610,1462,1518,0,0,0,0,0,0,0,0
88,All India,Urban,UPS (VI-VIII),Local body,0,0,0,0,0,0,0,0,0,0,91,88,4067,3706,3847,3639,4009,3544,0,0,0,0,0,0,0,0
89,All India,Rural,HSS (I-XII),Madarsa recognized (by Wakf board/Madarsa Board),60,67,8868,8065,7855,7274,8499,7792,8045,7135,7709,6900,7849,6562,7514,6283,9763,7291,10584,8238,11233,9042,9085,7145,8563,6514
90,All India,Urban,HSS (I-XII),Madarsa recognized (by Wakf board/Madarsa Board),538,503,5656,6763,4621,5115,4885,5624,4741,5221,4702,4993,4328,4563,4037,4283,4612,4494,4067,4512,4244,4664,3696,3683,3379,3334
91,All India,Rural,HSS (IX-XII),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,402,450,524,297,474,357,488
92,All India,Urban,HSS (IX-XII),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,369,297,260,370,373,258,361
93,All India,Rural,HSS (VI-XII),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,462,465,450,433,430,454,605,614,547,625,420,448,391,425
94,All India,Urban,HSS (VI-XII),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,90,125,83,109,70,97,146,127,122,160,110,96,102,115
95,All India,Rural,HSS (XI-XII),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,65,74,53
96,All India,Urban,HSS (XI-XII),Madarsa recognized (by Wakf board/Madarsa Board),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,168,191,121
